"Sensor_ID","ID","Date_Time","Year","Month","Mdate","Day","Time","Sensor_Name","Hourly_Counts","Weekday","MNum","latitude","longitude"
1,3369642,"10/16/2020 10:00:00 PM",2020,"October",16,"Friday",22,"Bourke Street Mall (North)",56,TRUE,10,-37.8134944,144.9651532
1,3198610,"06/16/2020 09:00:00 PM",2020,"June",16,"Tuesday",21,"Bourke Street Mall (North)",200,TRUE,6,-37.8134944,144.9651532
1,3325802,"09/16/2020 11:00:00 AM",2020,"September",16,"Wednesday",11,"Bourke Street Mall (North)",228,TRUE,9,-37.8134944,144.9651532
1,3239113,"07/16/2020 01:00:00 AM",2020,"July",16,"Thursday",1,"Bourke Street Mall (North)",3,TRUE,7,-37.8134944,144.9651532
1,2988051,"01/16/2020 03:00:00 PM",2020,"January",16,"Thursday",15,"Bourke Street Mall (North)",2382,TRUE,1,-37.8134944,144.9651532
1,3197682,"06/16/2020 05:00:00 AM",2020,"June",16,"Tuesday",5,"Bourke Street Mall (North)",14,TRUE,6,-37.8134944,144.9651532
1,3069249,"03/16/2020 04:00:00 AM",2020,"March",16,"Monday",4,"Bourke Street Mall (North)",14,TRUE,3,-37.8134944,144.9651532
1,3029734,"02/16/2020 09:00:00 AM",2020,"February",16,"Sunday",9,"Bourke Street Mall (North)",573,FALSE,2,-37.8134944,144.9651532
1,3070370,"03/16/2020 11:00:00 PM",2020,"March",16,"Monday",23,"Bourke Street Mall (North)",100,TRUE,3,-37.8134944,144.9651532
1,3197624,"06/16/2020 04:00:00 AM",2020,"June",16,"Tuesday",4,"Bourke Street Mall (North)",8,TRUE,6,-37.8134944,144.9651532
1,3369524,"10/16/2020 08:00:00 PM",2020,"October",16,"Friday",20,"Bourke Street Mall (North)",68,TRUE,10,-37.8134944,144.9651532
1,3154689,"05/16/2020 07:00:00 PM",2020,"May",16,"Saturday",19,"Bourke Street Mall (North)",217,FALSE,5,-37.8134944,144.9651532
1,3281989,"08/16/2020 09:00:00 PM",2020,"August",16,"Sunday",21,"Bourke Street Mall (North)",38,FALSE,8,-37.8134944,144.9651532
1,3281362,"08/16/2020 10:00:00 AM",2020,"August",16,"Sunday",10,"Bourke Street Mall (North)",62,FALSE,8,-37.8134944,144.9651532
1,3413656,"11/16/2020 10:00:00 AM",2020,"November",16,"Monday",10,"Bourke Street Mall (North)",657,TRUE,11,-37.8134944,144.9651532
1,3280963,"08/16/2020 03:00:00 AM",2020,"August",16,"Sunday",3,"Bourke Street Mall (North)",5,FALSE,8,-37.8134944,144.9651532
1,3111855,"04/16/2020 04:00:00 AM",2020,"April",16,"Thursday",4,"Bourke Street Mall (North)",6,TRUE,4,-37.8134944,144.9651532
1,3281305,"08/16/2020 09:00:00 AM",2020,"August",16,"Sunday",9,"Bourke Street Mall (North)",53,FALSE,8,-37.8134944,144.9651532
1,3111627,"04/16/2020 12:00:00 AM",2020,"April",16,"Thursday",0,"Bourke Street Mall (North)",15,TRUE,4,-37.8134944,144.9651532
1,3112824,"04/16/2020 09:00:00 PM",2020,"April",16,"Thursday",21,"Bourke Street Mall (North)",42,TRUE,4,-37.8134944,144.9651532
1,2987766,"01/16/2020 10:00:00 AM",2020,"January",16,"Thursday",10,"Bourke Street Mall (North)",1194,TRUE,1,-37.8134944,144.9651532
1,3414436,"11/16/2020 11:00:00 PM",2020,"November",16,"Monday",23,"Bourke Street Mall (North)",51,TRUE,11,-37.8134944,144.9651532
1,3240082,"07/16/2020 06:00:00 PM",2020,"July",16,"Thursday",18,"Bourke Street Mall (North)",246,TRUE,7,-37.8134944,144.9651532
1,3198436,"06/16/2020 06:00:00 PM",2020,"June",16,"Tuesday",18,"Bourke Street Mall (North)",685,TRUE,6,-37.8134944,144.9651532
1,3369701,"10/16/2020 11:00:00 PM",2020,"October",16,"Friday",23,"Bourke Street Mall (North)",14,TRUE,10,-37.8134944,144.9651532
1,3070311,"03/16/2020 10:00:00 PM",2020,"March",16,"Monday",22,"Bourke Street Mall (North)",212,TRUE,3,-37.8134944,144.9651532
1,3069721,"03/16/2020 12:00:00 PM",2020,"March",16,"Monday",12,"Bourke Street Mall (North)",2305,TRUE,3,-37.8134944,144.9651532
1,3029677,"02/16/2020 08:00:00 AM",2020,"February",16,"Sunday",8,"Bourke Street Mall (North)",146,FALSE,2,-37.8134944,144.9651532
1,3459267,"12/16/2020 07:00:00 PM",2020,"December",16,"Wednesday",19,"Bourke Street Mall (North)",1066,TRUE,12,-37.8134944,144.9651532
1,3369583,"10/16/2020 09:00:00 PM",2020,"October",16,"Friday",21,"Bourke Street Mall (North)",47,TRUE,10,-37.8134944,144.9651532
1,3154807,"05/16/2020 09:00:00 PM",2020,"May",16,"Saturday",21,"Bourke Street Mall (North)",71,FALSE,5,-37.8134944,144.9651532
1,3069190,"03/16/2020 03:00:00 AM",2020,"March",16,"Monday",3,"Bourke Street Mall (North)",9,TRUE,3,-37.8134944,144.9651532
1,3369465,"10/16/2020 07:00:00 PM",2020,"October",16,"Friday",19,"Bourke Street Mall (North)",128,TRUE,10,-37.8134944,144.9651532
1,3154512,"05/16/2020 04:00:00 PM",2020,"May",16,"Saturday",16,"Bourke Street Mall (North)",1520,FALSE,5,-37.8134944,144.9651532
1,3069367,"03/16/2020 06:00:00 AM",2020,"March",16,"Monday",6,"Bourke Street Mall (North)",111,TRUE,3,-37.8134944,144.9651532
1,3414256,"11/16/2020 08:00:00 PM",2020,"November",16,"Monday",20,"Bourke Street Mall (North)",334,TRUE,11,-37.8134944,144.9651532
1,3458357,"12/16/2020 05:00:00 AM",2020,"December",16,"Wednesday",5,"Bourke Street Mall (North)",11,TRUE,12,-37.8134944,144.9651532
1,3239170,"07/16/2020 02:00:00 AM",2020,"July",16,"Thursday",2,"Bourke Street Mall (North)",10,TRUE,7,-37.8134944,144.9651532
1,3069780,"03/16/2020 01:00:00 PM",2020,"March",16,"Monday",13,"Bourke Street Mall (North)",2568,TRUE,3,-37.8134944,144.9651532
1,3069662,"03/16/2020 11:00:00 AM",2020,"March",16,"Monday",11,"Bourke Street Mall (North)",1489,TRUE,3,-37.8134944,144.9651532
1,3368934,"10/16/2020 10:00:00 AM",2020,"October",16,"Friday",10,"Bourke Street Mall (North)",129,TRUE,10,-37.8134944,144.9651532
1,3198726,"06/16/2020 11:00:00 PM",2020,"June",16,"Tuesday",23,"Bourke Street Mall (North)",30,TRUE,6,-37.8134944,144.9651532
1,3240196,"07/16/2020 08:00:00 PM",2020,"July",16,"Thursday",20,"Bourke Street Mall (North)",56,TRUE,7,-37.8134944,144.9651532
1,3197508,"06/16/2020 02:00:00 AM",2020,"June",16,"Tuesday",2,"Bourke Street Mall (North)",6,TRUE,6,-37.8134944,144.9651532
1,3069072,"03/16/2020 01:00:00 AM",2020,"March",16,"Monday",1,"Bourke Street Mall (North)",29,TRUE,3,-37.8134944,144.9651532
1,3368344,"10/16/2020 12:00:00 AM",2020,"October",16,"Friday",0,"Bourke Street Mall (North)",5,TRUE,10,-37.8134944,144.9651532
1,3281020,"08/16/2020 04:00:00 AM",2020,"August",16,"Sunday",4,"Bourke Street Mall (North)",5,FALSE,8,-37.8134944,144.9651532
1,3413536,"11/16/2020 08:00:00 AM",2020,"November",16,"Monday",8,"Bourke Street Mall (North)",218,TRUE,11,-37.8134944,144.9651532
1,3368993,"10/16/2020 11:00:00 AM",2020,"October",16,"Friday",11,"Bourke Street Mall (North)",237,TRUE,10,-37.8134944,144.9651532
1,3030361,"02/16/2020 08:00:00 PM",2020,"February",16,"Sunday",20,"Bourke Street Mall (North)",721,FALSE,2,-37.8134944,144.9651532
1,3112881,"04/16/2020 10:00:00 PM",2020,"April",16,"Thursday",22,"Bourke Street Mall (North)",42,TRUE,4,-37.8134944,144.9651532
1,3154748,"05/16/2020 08:00:00 PM",2020,"May",16,"Saturday",20,"Bourke Street Mall (North)",122,FALSE,5,-37.8134944,144.9651532
1,3325492,"09/16/2020 06:00:00 AM",2020,"September",16,"Wednesday",6,"Bourke Street Mall (North)",31,TRUE,9,-37.8134944,144.9651532
1,3239227,"07/16/2020 03:00:00 AM",2020,"July",16,"Thursday",3,"Bourke Street Mall (North)",3,TRUE,7,-37.8134944,144.9651532
