"","Sensor_ID","ID","Date_Time","Year","Month","Mdate","Day","Time","Sensor_Name","Hourly_Counts","Weekday","latitude","longitude"
"1",1,3819252,"08/07/2021 07:00:00 AM",2021,"August",7,"Saturday",7,"Bourke Street Mall (North)",29,"Weekend",-37.8134944,144.9651532
"2",1,3820494,"08/08/2021 01:00:00 AM",2021,"August",8,"Sunday",1,"Bourke Street Mall (North)",3,"Weekend",-37.8134944,144.9651532
"3",1,3818633,"08/06/2021 10:00:00 PM",2021,"August",6,"Friday",22,"Bourke Street Mall (North)",52,"Weekday",-37.8134944,144.9651532
"4",1,3821184,"08/08/2021 11:00:00 AM",2021,"August",8,"Sunday",11,"Bourke Street Mall (North)",241,"Weekend",-37.8134944,144.9651532
"5",1,3814621,"08/04/2021 11:00:00 AM",2021,"August",4,"Wednesday",11,"Bourke Street Mall (North)",894,"Weekday",-37.8134944,144.9651532
"6",1,3820218,"08/07/2021 09:00:00 PM",2021,"August",7,"Saturday",21,"Bourke Street Mall (North)",59,"Weekend",-37.8134944,144.9651532
"7",1,3816457,"08/05/2021 02:00:00 PM",2021,"August",5,"Thursday",14,"Bourke Street Mall (North)",1334,"Weekday",-37.8134944,144.9651532
"8",1,3821115,"08/08/2021 10:00:00 AM",2021,"August",8,"Sunday",10,"Bourke Street Mall (North)",173,"Weekend",-37.8134944,144.9651532
"9",1,3820632,"08/08/2021 03:00:00 AM",2021,"August",8,"Sunday",3,"Bourke Street Mall (North)",2,"Weekend",-37.8134944,144.9651532
"10",1,3814009,"08/04/2021 02:00:00 AM",2021,"August",4,"Wednesday",2,"Bourke Street Mall (North)",15,"Weekday",-37.8134944,144.9651532
"11",1,3814281,"08/04/2021 06:00:00 AM",2021,"August",4,"Wednesday",6,"Bourke Street Mall (North)",92,"Weekday",-37.8134944,144.9651532
"12",1,3818089,"08/06/2021 02:00:00 PM",2021,"August",6,"Friday",14,"Bourke Street Mall (North)",256,"Weekday",-37.8134944,144.9651532
"13",1,3817953,"08/06/2021 12:00:00 PM",2021,"August",6,"Friday",12,"Bourke Street Mall (North)",242,"Weekday",-37.8134944,144.9651532
"14",1,3815029,"08/04/2021 05:00:00 PM",2021,"August",4,"Wednesday",17,"Bourke Street Mall (North)",1188,"Weekday",-37.8134944,144.9651532
"15",1,3814485,"08/04/2021 09:00:00 AM",2021,"August",4,"Wednesday",9,"Bourke Street Mall (North)",452,"Weekday",-37.8134944,144.9651532
"16",1,3813193,"08/03/2021 02:00:00 PM",2021,"August",3,"Tuesday",14,"Bourke Street Mall (North)",1253,"Weekday",-37.8134944,144.9651532
"17",1,3819804,"08/07/2021 03:00:00 PM",2021,"August",7,"Saturday",15,"Bourke Street Mall (North)",230,"Weekend",-37.8134944,144.9651532
"18",1,3810745,"08/02/2021 02:00:00 AM",2021,"August",2,"Monday",2,"Bourke Street Mall (North)",20,"Weekday",-37.8134944,144.9651532
"19",1,3812241,"08/03/2021 12:00:00 AM",2021,"August",3,"Tuesday",0,"Bourke Street Mall (North)",19,"Weekday",-37.8134944,144.9651532
"20",1,3814145,"08/04/2021 04:00:00 AM",2021,"August",4,"Wednesday",4,"Bourke Street Mall (North)",14,"Weekday",-37.8134944,144.9651532
"21",1,3814417,"08/04/2021 08:00:00 AM",2021,"August",4,"Wednesday",8,"Bourke Street Mall (North)",320,"Weekday",-37.8134944,144.9651532
"22",1,3820425,"08/08/2021 12:00:00 AM",2021,"August",8,"Sunday",0,"Bourke Street Mall (North)",32,"Weekend",-37.8134944,144.9651532
"23",1,3812717,"08/03/2021 07:00:00 AM",2021,"August",3,"Tuesday",7,"Bourke Street Mall (North)",137,"Weekday",-37.8134944,144.9651532
"24",1,3811221,"08/02/2021 09:00:00 AM",2021,"August",2,"Monday",9,"Bourke Street Mall (North)",431,"Weekday",-37.8134944,144.9651532
"25",1,3820011,"08/07/2021 06:00:00 PM",2021,"August",7,"Saturday",18,"Bourke Street Mall (North)",139,"Weekend",-37.8134944,144.9651532
"26",1,3820701,"08/08/2021 04:00:00 AM",2021,"August",8,"Sunday",4,"Bourke Street Mall (North)",3,"Weekend",-37.8134944,144.9651532
"27",1,3818361,"08/06/2021 06:00:00 PM",2021,"August",6,"Friday",18,"Bourke Street Mall (North)",186,"Weekday",-37.8134944,144.9651532
"28",1,3818429,"08/06/2021 07:00:00 PM",2021,"August",6,"Friday",19,"Bourke Street Mall (North)",118,"Weekday",-37.8134944,144.9651532
"29",1,3817477,"08/06/2021 05:00:00 AM",2021,"August",6,"Friday",5,"Bourke Street Mall (North)",9,"Weekday",-37.8134944,144.9651532
"30",1,3812037,"08/02/2021 09:00:00 PM",2021,"August",2,"Monday",21,"Bourke Street Mall (North)",183,"Weekday",-37.8134944,144.9651532
"31",1,3816661,"08/05/2021 05:00:00 PM",2021,"August",5,"Thursday",17,"Bourke Street Mall (North)",1843,"Weekday",-37.8134944,144.9651532
"32",1,3810677,"08/02/2021 01:00:00 AM",2021,"August",2,"Monday",1,"Bourke Street Mall (North)",18,"Weekday",-37.8134944,144.9651532
"33",1,3819735,"08/07/2021 02:00:00 PM",2021,"August",7,"Saturday",14,"Bourke Street Mall (North)",328,"Weekend",-37.8134944,144.9651532
"34",1,3821736,"08/08/2021 07:00:00 PM",2021,"August",8,"Sunday",19,"Bourke Street Mall (North)",122,"Weekend",-37.8134944,144.9651532
